channel,topomap_x,topomap_y,beta_td_minus_asd,p_raw,q_fdr,is_posterior_cluster
E1,0.06396865115436708,0.06101212520125522,0.153257934704253,0.0130586450761366,0.0696461070727288,False
E10,-0.024968511409485285,0.08548324776546808,0.0299262795954723,0.6989800705269845,0.7530735579673029,False
E11,-0.03290049329794779,0.06963128147307755,0.1207145334221316,0.0344676212360132,0.113191558263211,False
E12,-0.035932587866459434,0.05398969543015078,0.1027390634670727,0.0717397926923748,0.1583223011142064,False
E13,-0.047689302319972454,0.05022827804527653,0.1688122373730771,0.0053175375778798,0.0536319972842843,False
E14,-0.043760880598318695,0.03843671108958216,0.1578571122484773,0.0062344343391489,0.0536319972842843,False
E15,-0.03578462866049454,0.02692383786385812,0.0548517236309841,0.1693712278114062,0.2929664481062162,False
E16,-0.026893101244561127,0.01444333430238387,0.0747591832680293,0.0232025519408999,0.0989975549478397,False
E17,-0.06396865115436708,0.06101212520125522,0.148507579585858,0.0500453138104568,0.1231884647642015,False
E18,-0.06023486139715975,0.04096123011738941,0.1006628536335214,0.1479241378049936,0.270489851986274,False
E19,-0.05684912796245359,0.028926300245264294,0.074276126597159,0.2234926326016037,0.3330804261151564,False
E2,0.03290049329794777,0.06963128147307757,0.1221731070317203,0.0903293971972516,0.1927027140208035,False
E20,-0.040844771892944116,0.00887264738436279,0.0464986426465093,0.2032413932492859,0.3181593846400334,False
E21,-0.028344553236415947,-0.0034024889950949352,0.0746067463953381,0.0123619406546969,0.0696461070727288,False
E22,-0.05359004675658456,-0.0005096786892179379,0.0398762862775271,0.3992116625270706,0.5109909280346504,False
E23,-0.0795146169860049,0.013974501622553285,0.1063371707526687,0.1012009519294561,0.2089309975317804,False
E24,-0.06726628059747358,-0.015099514188383735,0.0412704782925848,0.6294325122254149,0.6957077669238011,False
E25,-0.05994457196438001,-0.01453991766280516,-0.032738951749939,0.5816525823863645,0.6647458084415595,False
E26,-0.052663590769443394,-0.01803528029906818,0.0057222230531107,0.8823036758351064,0.8823036758351064,False
E27,-0.0531837784830263,-0.03320810605031466,0.0348269553461235,0.3728949026481499,0.4971932035308666,False
E28,-0.04479690925653423,-0.02847603560789744,0.0668691728094035,0.0388652798730816,0.113191558263211,False
E29,-0.06984500423842799,-0.039654649444060094,0.0334828175453771,0.5796150597941327,0.6647458084415595,False
E3,0.02301651356571854,0.06322721329252798,0.0402355835221227,0.5504126203159895,0.652340883337469,False
E30,-0.05355936360409902,-0.04831182697668051,0.030474444590473,0.5006508094855562,0.6045594680580301,False
E31,-0.03128405645943401,-0.03970845706326067,0.0819711563210573,0.0055963527270749,0.0536319972842843,False
E32,-0.05623214996961524,-0.060837905725546294,0.0574026623596823,0.3836994809801229,0.5011585057699566,False
E33,-0.014047341359273212,-0.04969753278321529,0.1069691699564322,0.0007939043608607,0.0254049395475442,True
E34,1.4392201915883593e-18,-0.023504249430781193,0.0832689645652601,0.039280981748958,0.113191558263211,False
E35,-0.024130798512870283,-0.07280580499121184,0.1156750156184603,0.0367160861785281,0.113191558263211,False
E36,3.322300875348827e-18,-0.054257290798652186,0.1169124549715797,0.0016538100405018,0.0352812808640399,True
E37,4.598767726448652e-18,-0.07510357647038302,0.1705393422955826,0.002250840490471,0.0360134478475373,True
E38,0.01404734135927321,-0.049697532783215294,0.1343483593579044,0.0001180729739147,0.0075566703305446,True
E39,0.024130798512870272,-0.07280580499121184,0.1785993106915019,0.0080191445628263,0.0570250280023207,False
E4,2.173241489548103e-18,0.0354917269381049,0.0651840739788022,0.0302239658968083,0.113191558263211,False
E40,0.03128405645943401,-0.03970845706326067,0.0845685480090444,0.0205957682560589,0.0941520834562696,False
